Date,Store_ID,SKU_ID,Beginning_Inventory,Units_Received,Units_Sold,Units_Transferred_In,Units_Transferred_Out,Damaged_Units,Ending_Inventory,Inventory_Value
2026-08-12,S001,DEC0001,1,0,0,0,1,0,1,45.39
2026-08-12,S002,DEC0001,2,6,5,2,2,1,3,136.17
2026-08-12,S003,DEC0001,0,2,1,3,1,0,1,45.39
2026-08-12,S004,DEC0001,0,3,2,2,0,0,1,45.39
2026-08-12,S005,DEC0001,1,0,0,3,3,0,1,45.39
2026-08-12,S006,DEC0001,1,0,0,3,3,0,1,45.39
2026-08-12,S007,DEC0001,1,4,3,0,1,0,2,90.78
2026-08-12,S008,DEC0001,0,1,1,1,3,0,0,0.0
2026-08-12,S009,DEC0001,1,7,5,2,2,0,3,136.17
2026-08-12,S010,DEC0001,0,1,1,1,1,0,0,0.0
2026-08-12,S001,DEC0002,1,0,0,0,2,0,1,9.05
2026-08-12,S002,DEC0002,1,2,1,2,3,1,2,18.1
2026-08-12,S003,DEC0002,0,0,0,0,0,0,0,0.0
2026-08-12,S004,DEC0002,1,0,0,1,3,0,1,9.05
2026-08-12,S005,DEC0002,0,0,0,0,1,0,0,0.0
2026-08-12,S006,DEC0002,0,2,1,1,3,0,1,9.05
2026-08-12,S007,DEC0002,0,1,0,3,3,0,1,9.05
2026-08-12,S008,DEC0002,0,0,0,2,0,0,0,0.0
2026-08-12,S009,DEC0002,0,0,0,2,3,0,0,0.0
2026-08-12,S010,DEC0002,0,0,0,3,1,0,0,0.0
2026-08-12,S001,DEC0003,0,0,0,0,2,0,0,0.0
2026-08-12,S002,DEC0003,1,0,0,3,2,0,1,12.3
2026-08-12,S003,DEC0003,0,0,0,0,0,0,0,0.0
2026-08-12,S004,DEC0003,0,1,1,0,0,0,0,0.0
2026-08-12,S005,DEC0003,0,1,1,0,2,0,0,0.0
2026-08-12,S006,DEC0003,0,9,6,2,3,0,3,36.9
2026-08-12,S007,DEC0003,0,5,2,3,1,1,3,36.9
2026-08-12,S008,DEC0003,1,0,0,3,1,0,1,12.3
2026-08-12,S009,DEC0003,1,5,4,2,2,0,2,24.6
2026-08-12,S010,DEC0003,0,0,0,0,2,0,0,0.0
2026-08-12,S001,DEC0004,1,0,0,2,3,0,1,16.71
2026-08-12,S002,DEC0004,1,4,3,3,1,0,2,33.42
2026-08-12,S003,DEC0004,0,0,0,2,0,0,0,0.0
2026-08-12,S004,DEC0004,1,2,2,2,3,0,1,16.71
2026-08-12,S005,DEC0004,0,0,0,0,0,0,0,0.0
2026-08-12,S006,DEC0004,1,1,2,0,3,0,0,0.0
2026-08-12,S007,DEC0004,1,7,5,2,0,0,3,50.13
2026-08-12,S008,DEC0004,1,5,4,2,2,0,2,33.42
2026-08-12,S009,DEC0004,1,2,1,0,0,0,2,33.42
2026-08-12,S010,DEC0004,0,1,1,3,0,0,0,0.0
2026-08-12,S001,DEC0005,1,2,2,3,2,0,1,47.06
2026-08-12,S002,DEC0005,1,6,5,3,2,0,2,94.12
2026-08-12,S003,DEC0005,0,1,0,0,0,0,1,47.06
2026-08-12,S004,DEC0005,0,0,0,2,0,0,0,0.0
2026-08-12,S005,DEC0005,1,0,1,0,3,0,0,0.0
2026-08-12,S006,DEC0005,0,2,1,1,0,0,1,47.06
2026-08-12,S007,DEC0005,1,0,0,1,1,0,1,47.06
2026-08-12,S008,DEC0005,0,0,0,1,3,0,0,0.0
2026-08-12,S009,DEC0005,1,0,0,1,3,0,1,47.06
2026-08-12,S010,DEC0005,0,0,0,3,2,0,0,0.0
2026-08-12,S001,DEC0006,1,0,0,2,1,0,1,11.24
2026-08-12,S002,DEC0006,0,7,5,0,1,0,2,22.48
2026-08-12,S003,DEC0006,1,0,1,0,2,0,0,0.0
2026-08-12,S004,DEC0006,0,4,3,3,1,0,1,11.24
2026-08-12,S005,DEC0006,0,0,0,2,0,0,0,0.0
2026-08-12,S006,DEC0006,0,0,0,2,0,0,0,0.0
2026-08-12,S007,DEC0006,0,0,0,0,1,0,0,0.0
2026-08-12,S008,DEC0006,0,0,0,1,2,0,0,0.0
2026-08-12,S009,DEC0006,1,3,3,1,0,0,1,11.24
2026-08-12,S010,DEC0006,1,1,1,1,0,0,1,11.24
2026-08-12,S001,DEC0007,0,3,2,1,2,0,1,52.39
2026-08-12,S002,DEC0007,1,0,1,1,0,0,0,0.0
2026-08-12,S003,DEC0007,1,0,0,0,1,0,1,52.39
2026-08-12,S004,DEC0007,0,2,2,0,3,0,0,0.0
2026-08-12,S005,DEC0007,0,1,0,2,0,0,1,52.39
2026-08-12,S006,DEC0007,0,0,0,1,2,0,0,0.0
2026-08-12,S007,DEC0007,0,7,4,1,2,0,3,157.17
2026-08-12,S008,DEC0007,0,1,1,2,3,0,0,0.0
2026-08-12,S009,DEC0007,2,4,4,0,2,0,2,104.78
2026-08-12,S010,DEC0007,0,7,4,0,1,0,3,157.17
2026-08-12,S001,DEC0008,1,3,4,1,2,0,0,0.0
2026-08-12,S002,DEC0008,0,1,0,1,0,0,1,37.92
2026-08-12,S003,DEC0008,0,2,0,0,1,0,2,75.84
2026-08-12,S004,DEC0008,0,0,0,0,1,0,0,0.0
2026-08-12,S005,DEC0008,0,5,4,3,0,0,1,37.92
2026-08-12,S006,DEC0008,0,0,0,1,3,0,0,0.0
2026-08-12,S007,DEC0008,0,0,0,3,2,0,0,0.0
2026-08-12,S008,DEC0008,1,0,1,1,3,0,0,0.0
2026-08-12,S009,DEC0008,0,3,2,3,1,0,1,37.92
2026-08-12,S010,DEC0008,0,0,0,3,1,0,0,0.0
2026-08-12,S001,DEC0009,0,4,3,0,1,0,1,11.4
2026-08-12,S002,DEC0009,1,1,0,1,0,0,2,22.8
2026-08-12,S003,DEC0009,1,0,1,1,3,0,0,0.0
2026-08-12,S004,DEC0009,2,4,3,1,1,0,3,34.2
2026-08-12,S005,DEC0009,1,3,2,3,1,0,2,22.8
