Markdown_ID,SKU_ID,Store_ID,Markdown_Date,Original_Price,Markdown_Price,Markdown_Percentage,Inventory_Before_Markdown,Units_Sold_After_Markdown,Revenue_After_Markdown,Velocity_Before,Velocity_After
MD00001,WAL0325,S002,2026-06-05,30.67,24.54,0.2,6,3,68.7,0.4,0.7
MD00002,WAL0329,S002,2026-06-22,143.1,85.86,0.4,5,3,274.75,0.4,0.8
MD00003,TAB0782,S001,2026-07-20,205.2,143.64,0.3,6,4,517.1,0.4,0.9
MD00004,ORG1751,S009,2026-07-02,37.54,22.52,0.4,7,3,63.07,0.4,0.7
MD00005,WAL0340,S006,2026-06-01,36.86,22.12,0.4,6,3,61.92,0.4,0.7
MD00006,PIL1358,S007,2026-08-04,56.74,39.72,0.3,8,5,190.65,0.5,1.2
MD00007,SRV1007,S008,2026-05-29,93.0,69.75,0.25,5,3,195.3,0.4,0.7
MD00008,SRV1049,S010,2026-07-11,94.23,56.54,0.4,5,3,158.31,0.4,0.7
MD00009,DEC0032,S002,2026-08-05,22.75,18.2,0.2,5,3,50.96,0.4,0.7
MD00010,TAB0797,S005,2026-07-31,192.63,154.1,0.2,4,2,369.85,0.4,0.6
MD00011,DEC0152,S003,2026-06-18,76.82,46.09,0.4,5,3,147.49,0.4,0.8
MD00012,TAB0829,S010,2026-08-03,206.52,154.89,0.25,4,2,371.74,0.4,0.6
MD00013,DEC0149,S004,2026-07-17,76.63,45.98,0.4,7,4,165.52,0.4,0.9
MD00014,FUR0597,S002,2026-07-03,169.64,127.23,0.25,4,2,305.35,0.4,0.6
MD00015,MIR0417,S003,2026-08-02,179.33,125.53,0.3,7,3,401.7,0.4,0.8
MD00016,SEA0680,S002,2026-06-30,639.47,479.6,0.25,5,3,1534.73,0.4,0.8
MD00017,WAL0328,S001,2026-07-23,154.54,92.72,0.4,5,2,222.54,0.4,0.6
MD00018,TAB0790,S008,2026-07-07,602.99,452.24,0.25,6,4,1808.97,0.4,1.0
MD00019,KIT0918,S006,2026-05-30,60.32,45.24,0.25,7,4,162.86,0.4,0.9
MD00020,MIR0378,S004,2026-07-03,121.12,72.67,0.4,5,3,203.48,0.4,0.7
MD00021,TEX0466,S008,2026-05-29,83.83,62.87,0.25,6,4,226.34,0.4,0.9
MD00022,DEC0104,S003,2026-05-31,75.4,60.32,0.2,5,2,144.77,0.4,0.6
MD00023,SEA0712,S005,2026-06-30,316.46,237.34,0.25,6,4,854.44,0.4,0.9
MD00024,DEC0153,S002,2026-07-13,82.1,49.26,0.4,5,3,137.93,0.4,0.7
MD00025,TEX0433,S002,2026-06-16,45.14,36.11,0.2,6,4,130.0,0.4,0.9
MD00026,TAB0791,S007,2026-08-01,289.91,217.43,0.25,7,4,782.76,0.4,0.9
