PO_Number,Vendor_ID,SKU_ID,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Units_Ordered,Units_Received,Unit_Cost,Total_Cost,Delivery_Status
PO000001,V006,FLR1846,2025-07-15,2025-08-20,2025-08-30,96,96,170.42,16360.32,Late
PO000002,V004,BTH1526,2025-12-09,2025-12-27,2026-01-01,36,36,27.95,1006.2,Late
PO000003,V004,DEC0046,2025-04-28,2025-05-16,2025-05-21,72,72,12.11,871.92,Late
PO000004,V003,DEC0163,2025-07-13,2025-09-13,2025-09-09,120,102,28.83,3459.6,On Time
PO000005,V016,WIN2079,2026-03-07,2026-03-21,2026-03-28,72,72,19.08,1373.76,Late
PO000006,V001,CND2157,2026-05-24,2026-06-24,2026-06-29,48,48,35.62,1709.76,Late
PO000007,V011,DEC0081,2026-02-07,2026-03-21,2026-03-22,120,102,18.47,2216.4,On Time
PO000008,V004,TEX0520,2025-02-28,2025-03-18,2025-03-09,96,96,27.06,2597.76,On Time
PO000009,V017,BTH1519,2025-03-21,2025-04-05,2025-04-09,72,72,7.85,565.2,Late
PO000010,V013,FRM2213,2025-02-13,2025-03-08,2025-03-07,96,96,23.1,2217.6,On Time
PO000011,V020,PEN1914,2026-07-06,2026-08-04,2026-07-31,36,36,98.2,3535.2,On Time
PO000012,V015,SRV0973,2025-03-02,2025-03-26,2025-03-28,96,78,29.41,2823.36,On Time
PO000013,V003,DEC0137,2025-06-06,2025-08-07,2025-08-16,120,120,16.15,1938.0,Late
PO000014,V010,KIT0878,2025-07-12,2025-09-02,2025-08-30,96,96,58.3,5596.8,On Time
PO000015,V002,LGT1791,2025-04-01,2025-05-06,2025-05-20,120,120,33.7,4044.0,Late
PO000016,V002,SEA0711,2025-10-01,2025-11-05,2025-11-04,96,96,170.67,16384.32,On Time
PO000017,V010,CND2147,2026-01-11,2026-03-04,2026-03-05,36,36,8.99,323.64,On Time
PO000018,V009,BTH1555,2025-04-22,2025-06-09,2025-06-11,24,24,32.86,788.64,On Time
PO000019,V002,MIR0391,2026-06-21,2026-07-26,2026-08-01,36,36,115.27,4149.72,Late
PO000020,V019,SRV1022,2025-03-15,2025-04-19,2025-04-20,48,48,28.15,1351.2,On Time
PO000021,V006,TOW1463,2025-06-14,2025-07-20,2025-07-14,48,48,27.94,1341.12,On Time
PO000022,V009,HAL2004,2025-05-08,2025-06-25,2025-07-02,48,48,13.88,666.24,Late
PO000023,V003,FLR1866,2025-10-30,2025-12-31,2025-12-31,96,96,187.05,17956.8,On Time
PO000024,V014,FUR0593,2025-03-15,2025-04-25,2025-04-28,96,96,210.26,20184.96,Late
PO000025,V019,ORG1748,2025-06-20,2025-07-25,2025-07-28,72,72,9.1,655.2,Late
PO000026,V013,HAL2007,2025-05-09,2025-06-01,2025-06-01,120,120,35.85,4302.0,On Time
PO000027,V005,KIT0900,2025-09-21,2025-11-01,2025-11-03,24,24,66.81,1603.44,On Time
PO000028,V008,FUR0621,2025-12-04,2026-01-16,2026-01-20,72,72,121.83,8771.76,Late
PO000029,V007,WAL0209,2026-01-29,2026-02-18,2026-02-21,120,120,44.46,5335.2,Late
PO000030,V011,CHR1984,2025-02-14,2025-03-28,2025-04-03,120,120,65.19,7822.8,Late
PO000031,V012,SRV1044,2026-06-26,2026-07-22,2026-07-20,120,120,13.58,1629.6,On Time
PO000032,V017,FUR0619,2025-08-30,2025-09-14,2025-09-17,36,36,220.23,7928.28,Late
PO000033,V014,SHT1313,2026-03-14,2026-04-24,2026-04-30,36,36,38.08,1370.88,Late
PO000034,V002,SHT1260,2025-03-28,2025-05-02,2025-05-11,36,36,59.99,2159.64,Late
PO000035,V008,DEC0089,2026-05-28,2026-07-10,2026-07-05,24,24,24.05,577.2,On Time
PO000036,V020,CND2134,2025-02-21,2025-03-22,2025-03-20,48,48,29.29,1405.92,On Time
PO000037,V008,DEC0018,2025-04-25,2025-06-07,2025-06-12,96,96,37.73,3622.08,Late
PO000038,V018,ORG1762,2026-04-25,2026-05-10,2026-05-13,72,72,28.93,2082.96,Late
PO000039,V009,HAL2004,2026-02-13,2026-04-02,2026-04-02,48,48,13.88,666.24,On Time
PO000040,V004,SRV1003,2026-02-23,2026-03-13,2026-03-11,72,72,39.5,2844.0,On Time
PO000041,V017,SRV1076,2026-05-12,2026-05-27,2026-05-27,48,36,25.17,1208.16,On Time
PO000042,V001,WAL0308,2025-12-22,2026-01-22,2026-01-25,36,36,69.69,2508.84,Late
PO000043,V011,TEX0484,2026-06-30,2026-08-11,2026-08-24,72,72,17.23,1240.56,Late
PO000044,V018,PIL1345,2025-04-20,2025-05-05,2025-05-07,72,72,25.18,1812.96,On Time
PO000045,V011,TOW1441,2026-06-04,2026-07-16,2026-07-22,120,120,25.37,3044.4,Late
PO000046,V002,BTH1551,2026-05-07,2026-06-11,2026-06-08,96,96,41.87,4019.52,On Time
PO000047,V009,TOW1418,2025-12-09,2026-01-26,2026-01-30,72,72,32.57,2345.04,Late
PO000048,V019,LGT1782,2025-09-08,2025-10-13,2025-10-04,120,120,58.28,6993.6,On Time
PO000049,V005,SHT1272,2025-11-13,2025-12-24,2025-12-28,96,96,100.3,9628.8,Late
PO000050,V018,MIR0382,2025-11-10,2025-11-25,2025-12-04,36,36,64.9,2336.4,Late
PO000051,V013,KIT0867,2025-09-18,2025-10-11,2025-10-11,120,120,99.46,11935.2,On Time
PO000052,V004,PEN1886,2025-07-25,2025-08-12,2025-08-06,72,72,164.41,11837.52,On Time
PO000053,V001,SEA0720,2025-09-02,2025-10-03,2025-10-02,48,48,267.21,12826.08,On Time
PO000054,V010,SEA0718,2026-05-31,2026-07-22,2026-07-23,120,120,334.29,40114.8,On Time
PO000055,V003,SHT1314,2025-11-16,2026-01-17,2026-01-25,48,48,27.73,1331.04,Late
PO000056,V015,DUV1170,2026-03-30,2026-04-23,2026-04-24,24,12,110.34,2648.16,On Time
PO000057,V016,SHL1662,2025-03-04,2025-03-18,2025-03-27,120,120,109.13,13095.6,Late
PO000058,V016,SUM2039,2025-03-28,2025-04-11,2025-04-25,72,72,16.05,1155.6,Late
PO000059,V010,BTH1521,2026-02-18,2026-04-11,2026-04-12,36,36,21.31,767.16,On Time
PO000060,V017,SEA0748,2025-06-07,2025-06-22,2025-06-16,36,36,87.77,3159.72,On Time
PO000061,V013,WAL0193,2026-02-14,2026-03-09,2026-03-14,96,84,36.26,3480.96,Late
PO000062,V006,TOW1492,2025-07-04,2025-08-09,2025-08-21,72,72,9.31,670.32,Late
PO000063,V018,DUV1185,2025-06-09,2025-06-24,2025-06-28,120,120,48.13,5775.6,Late
PO000064,V012,BSK1601,2025-11-17,2025-12-13,2025-12-18,96,96,27.98,2686.08,Late
PO000065,V014,KIT0899,2026-02-25,2026-04-07,2026-04-08,48,48,30.52,1464.96,On Time
PO000066,V011,MIR0387,2026-02-17,2026-03-31,2026-04-01,36,24,86.06,3098.16,On Time
PO000067,V015,SHL1670,2026-04-29,2026-05-23,2026-05-25,24,24,49.42,1186.08,On Time
PO000068,V005,SHT1292,2025-05-20,2025-06-30,2025-06-21,24,24,63.23,1517.52,On Time
PO000069,V011,CND2124,2025-09-11,2025-10-23,2025-10-24,24,24,7.59,182.16,On Time
PO000070,V012,WIN2081,2026-03-30,2026-04-25,2026-04-28,72,72,31.91,2297.52,Late
PO000071,V016,SHT1265,2025-09-20,2025-10-04,2025-10-12,96,78,38.77,3721.92,Late
PO000072,V012,BSK1601,2026-06-10,2026-07-06,2026-07-14,120,120,27.98,3357.6,Late
PO000073,V004,MIR0417,2026-04-30,2026-05-18,2026-05-23,24,24,73.5,1764.0,Late
PO000074,V017,WAL0282,2026-05-04,2026-05-19,2026-05-16,72,72,14.42,1038.24,On Time
PO000075,V002,SEA0754,2026-06-01,2026-07-06,2026-07-10,48,48,367.91,17659.68,Late
PO000076,V002,TEX0451,2026-03-11,2026-04-15,2026-04-24,48,42,12.27,588.96,Late
PO000077,V018,WAL0211,2025-07-03,2025-07-18,2025-07-14,36,36,34.74,1250.64,On Time
PO000078,V015,SUM2053,2025-08-13,2025-09-06,2025-09-09,72,72,28.35,2041.2,Late
PO000079,V004,TOW1466,2025-06-12,2025-06-30,2025-06-27,24,24,15.05,361.2,On Time
PO000080,V012,SHL1653,2025-10-11,2025-11-06,2025-11-10,36,36,94.11,3387.96,Late
PO000081,V013,TOW1413,2026-06-27,2026-07-20,2026-07-22,72,72,6.42,462.24,On Time
PO000082,V002,SHT1260,2025-02-12,2025-03-19,2025-03-31,120,120,59.99,7198.8,Late
PO000083,V006,DEC0009,2025-08-01,2025-09-06,2025-09-14,120,120,11.4,1368.0,Late
PO000084,V017,DEC0068,2025-06-07,2025-06-22,2025-06-27,120,120,33.26,3991.2,Late
PO000085,V013,DEC0133,2026-03-01,2026-03-24,2026-03-27,96,96,12.99,1247.04,Late
PO000086,V002,CHR1931,2025-12-14,2026-01-18,2026-01-22,72,72,38.44,2767.68,Late
PO000087,V012,ORG1744,2025-10-26,2025-11-21,2025-11-23,24,24,8.42,202.08,On Time
PO000088,V001,KIT0891,2026-05-18,2026-06-18,2026-06-14,24,24,48.33,1159.92,On Time
PO000089,V011,TOW1458,2025-06-06,2025-07-18,2025-07-25,96,96,10.89,1045.44,Late
PO000090,V010,DEC0124,2026-06-26,2026-08-17,2026-08-16,72,72,30.95,2228.4,On Time
PO000091,V003,SHT1246,2025-11-25,2026-01-26,2026-02-01,96,96,22.09,2120.64,Late
PO000092,V014,WAL0253,2025-12-25,2026-02-04,2026-02-05,48,48,67.94,3261.12,On Time
PO000093,V011,PEN1918,2026-04-05,2026-05-17,2026-05-25,120,102,227.12,27254.4,Late
PO000094,V016,FUR0582,2025-09-23,2025-10-07,2025-10-20,36,36,128.37,4621.32,Late
PO000095,V013,FRM2193,2026-04-18,2026-05-11,2026-05-13,96,96,33.27,3193.92,On Time
PO000096,V010,SHL1687,2026-02-25,2026-04-18,2026-04-18,72,72,82.57,5945.04,On Time
PO000097,V018,WAL0279,2026-05-04,2026-05-19,2026-05-12,120,120,74.76,8971.2,On Time
PO000098,V016,TEX0479,2025-12-06,2025-12-20,2026-01-01,48,42,11.78,565.44,Late
PO000099,V005,TAB0772,2025-05-12,2025-06-22,2025-06-23,48,48,332.78,15973.44,On Time
PO000100,V014,SRV1039,2025-06-18,2025-07-29,2025-07-26,96,96,38.32,3678.72,On Time
PO000101,V016,SRV0985,2025-05-01,2025-05-15,2025-05-19,120,120,8.21,985.2,Late
PO000102,V003,FLR1843,2025-03-11,2025-05-12,2025-04-29,120,120,180.66,21679.2,On Time
PO000103,V005,MIR0372,2025-04-13,2025-05-24,2025-06-01,24,24,103.61,2486.64,Late
PO000104,V002,DEC0023,2025-02-09,2025-03-16,2025-03-19,72,72,55.59,4002.48,Late
PO000105,V020,SEA0757,2025-11-16,2025-12-15,2025-12-19,24,24,169.19,4060.56,Late
PO000106,V016,SRV0976,2026-06-11,2026-06-25,2026-07-09,24,12,43.93,1054.32,Late
PO000107,V012,FUR0644,2026-05-15,2026-06-10,2026-06-06,24,24,124.34,2984.16,On Time
PO000108,V011,PIL1398,2025-03-04,2025-04-15,2025-04-19,24,24,42.5,1020.0,Late
PO000109,V003,TOW1460,2025-03-14,2025-05-15,2025-05-15,72,72,38.38,2763.36,On Time
PO000110,V013,FRM2173,2026-06-08,2026-07-01,2026-06-20,36,24,23.54,847.44,On Time
PO000111,V002,DEC0183,2026-03-18,2026-04-22,2026-04-23,120,120,14.68,1761.6,On Time
PO000112,V002,CND2160,2026-06-09,2026-07-14,2026-07-21,72,72,24.16,1739.52,Late
PO000113,V004,CND2117,2026-03-29,2026-04-16,2026-04-22,120,120,13.29,1594.8,Late
PO000114,V012,TOW1427,2025-03-18,2025-04-13,2025-04-11,120,108,32.14,3856.8,On Time
PO000115,V015,KIT0933,2025-08-20,2025-09-13,2025-09-07,36,30,42.06,1514.16,On Time
PO000116,V015,TEX0462,2025-04-09,2025-05-03,2025-05-09,24,24,34.74,833.76,Late
PO000117,V003,ORG1734,2025-06-11,2025-08-12,2025-08-16,48,48,40.19,1929.12,Late
PO000118,V007,ORG1715,2026-01-16,2026-02-05,2026-02-17,48,48,32.53,1561.44,Late
PO000119,V016,KIT0859,2025-02-10,2025-02-24,2025-02-18,120,120,84.1,10092.0,On Time
PO000120,V007,BTH1529,2025-02-15,2025-03-07,2025-03-15,120,120,20.66,2479.2,Late
PO000121,V012,FUR0664,2026-04-04,2026-04-30,2026-04-27,36,36,137.11,4935.96,On Time
PO000122,V004,TEX0520,2025-09-15,2025-10-03,2025-10-01,120,120,27.06,3247.2,On Time
PO000123,V006,DEC0009,2025-10-11,2025-11-16,2025-11-11,36,36,11.4,410.4,On Time
PO000124,V017,WAL0322,2025-06-08,2025-06-23,2025-07-05,120,120,36.12,4334.4,Late
PO000125,V006,CHR1972,2026-04-22,2026-05-28,2026-05-25,96,96,42.9,4118.4,On Time
PO000126,V011,BSK1627,2025-07-02,2025-08-13,2025-08-24,72,72,48.22,3471.84,Late
PO000127,V010,WAL0267,2025-07-11,2025-09-01,2025-08-27,72,72,44.15,3178.8,On Time
PO000128,V019,WAL0288,2025-06-13,2025-07-18,2025-07-17,24,24,17.71,425.04,On Time
PO000129,V019,SHT1282,2026-01-13,2026-02-17,2026-02-11,72,66,51.43,3702.96,On Time
PO000130,V019,HAL2005,2026-05-06,2026-06-10,2026-06-18,36,24,40.62,1462.32,Late
PO000131,V013,PIL1407,2025-11-25,2025-12-18,2025-12-18,24,12,12.86,308.64,On Time
PO000132,V010,TEX0475,2026-06-29,2026-08-20,2026-08-23,24,24,8.25,198.0,Late
PO000133,V020,TOW1471,2025-03-10,2025-04-08,2025-04-10,96,96,15.99,1535.04,On Time
PO000134,V010,TEX0507,2025-05-12,2025-07-03,2025-07-08,72,72,37.24,2681.28,Late
PO000135,V010,FRM2207,2026-01-25,2026-03-18,2026-03-25,120,120,35.78,4293.6,Late
PO000136,V003,MIR0406,2025-02-08,2025-04-11,2025-04-12,72,72,38.28,2756.16,On Time
PO000137,V016,SUM2022,2025-04-29,2025-05-13,2025-05-15,48,48,40.8,1958.4,On Time
PO000138,V020,CND2114,2026-06-30,2026-07-29,2026-07-28,24,6,4.82,115.68,On Time
PO000139,V016,FUR0639,2025-03-24,2025-04-07,2025-04-13,48,48,80.92,3884.16,Late
PO000140,V011,KIT0864,2025-11-27,2026-01-08,2026-01-09,72,72,23.15,1666.8,On Time
PO000141,V015,TEX0462,2026-06-24,2026-07-18,2026-07-15,48,48,34.74,1667.52,On Time
PO000142,V003,SEA0694,2025-11-09,2026-01-10,2026-01-13,120,120,102.06,12247.2,Late
PO000143,V016,DEC0059,2025-10-18,2025-11-01,2025-11-10,120,120,29.92,3590.4,Late
PO000144,V016,SEA0682,2026-05-26,2026-06-09,2026-06-17,72,72,124.92,8994.24,Late
PO000145,V013,WAL0316,2025-09-30,2025-10-23,2025-10-21,72,72,65.78,4736.16,On Time
PO000146,V018,BSK1588,2026-04-09,2026-04-24,2026-04-30,72,72,11.58,833.76,Late
PO000147,V007,DEC0158,2025-03-23,2025-04-12,2025-04-21,96,96,45.27,4345.92,Late
PO000148,V014,FUR0579,2025-06-08,2025-07-19,2025-07-14,24,24,181.55,4357.2,On Time
PO000149,V013,TAB0813,2026-01-11,2026-02-03,2026-02-16,48,48,362.49,17399.52,Late
PO000150,V007,DEC0032,2025-11-25,2025-12-15,2025-12-18,24,24,10.58,253.92,Late
PO000151,V003,SEA0694,2026-01-04,2026-03-07,2026-03-13,48,48,102.06,4898.88,Late
PO000152,V004,PEN1886,2025-12-21,2026-01-08,2026-01-16,72,72,164.41,11837.52,Late
PO000153,V010,SRV1055,2025-03-08,2025-04-29,2025-04-27,96,96,43.12,4139.52,On Time
PO000154,V012,TEX0473,2026-06-04,2026-06-30,2026-07-06,96,96,42.96,4124.16,Late
PO000155,V010,FUR0584,2025-11-18,2026-01-09,2026-01-05,72,72,118.19,8509.68,On Time
PO000156,V003,TEX0437,2026-01-17,2026-03-20,2026-03-22,24,24,25.32,607.68,On Time
PO000157,V008,FLR1872,2026-03-06,2026-04-18,2026-04-14,48,48,50.38,2418.24,On Time
PO000158,V016,SHT1242,2026-05-29,2026-06-12,2026-06-12,96,96,44.26,4248.96,On Time
PO000159,V017,SRV1019,2026-03-24,2026-04-08,2026-04-07,96,96,25.11,2410.56,On Time
PO000160,V016,BTH1513,2025-10-25,2025-11-08,2025-11-13,72,72,31.04,2234.88,Late
PO000161,V003,TEX0526,2026-06-23,2026-08-24,2026-08-27,120,120,25.59,3070.8,Late
PO000162,V018,MIR0422,2025-09-01,2025-09-16,2025-09-23,72,72,62.92,4530.24,Late
PO000163,V003,DEC0137,2026-01-10,2026-03-13,2026-03-21,24,24,16.15,387.6,Late
PO000164,V018,WIN2085,2025-08-13,2025-08-28,2025-09-05,120,120,56.01,6721.2,Late
PO000165,V009,TOW1418,2025-12-26,2026-02-12,2026-02-05,120,108,32.57,3908.4,On Time
PO000166,V002,DEC0114,2026-05-18,2026-06-22,2026-06-24,36,36,15.53,559.08,On Time
PO000167,V020,WAL0194,2026-03-24,2026-04-22,2026-04-22,48,48,31.94,1533.12,On Time
PO000168,V012,DEC0067,2025-10-10,2025-11-05,2025-11-11,96,96,12.65,1214.4,Late
PO000169,V006,TOW1486,2026-03-09,2026-04-14,2026-04-16,36,36,32.33,1163.88,On Time
PO000170,V018,LGT1822,2025-08-12,2025-08-27,2025-08-26,72,60,60.72,4371.84,On Time
PO000171,V012,MIR0393,2026-01-05,2026-01-31,2026-02-05,48,48,69.78,3349.44,Late
