Vendor_ID,Vendor_Name,Country,Primary_Category,Average_Lead_Time,Minimum_Order_Quantity,Payment_Terms,On_Time_Delivery_Percentage,Defect_Rate,Average_Cost,Vendor_Status
V001,Maison Source Co.,India,Textiles,31,72,Net 30,0.98,0.01,71.17,Active
V002,Atelier North,China,Tables,35,48,Net 60,0.853,0.029,50.06,Active
V003,Luma House,Portugal,Utensils,62,36,Net 45,0.891,0.04,56.87,Active
V004,Stone & Stem,Canada,Pillows,18,36,Net 60,0.879,0.035,51.02,Active
V005,Cedarline Goods,United States,Baskets,41,48,Net 60,0.874,0.015,84.24,Active
V006,Aster Living,United States,Table Lamps,36,48,Net 45,0.955,0.041,82.96,Active
V007,Morrow Textiles,United States,Christmas Decor,20,12,Net 60,0.713,0.028,22.66,Review
V008,Calder & Finch,Portugal,Winter Comfort,43,36,Net 30,0.98,0.011,40.6,Active
V009,Hearthwell,India,Curated Gifts,48,72,Net 30,0.893,0.006,76.93,Active
V010,Forma Studio,Canada,Mirrors,52,72,Net 45,0.98,0.017,68.06,Active
V011,Meridian Craft,Canada,Seating,42,72,Net 60,0.734,0.019,19.84,Review
V012,Juniper Supply,Canada,Serveware,26,48,Net 30,0.899,0.02,80.9,Active
V013,Vale & Loom,Portugal,Sheets,23,36,Net 45,0.98,0.035,54.01,Active
V014,Cove Trading,United States,Bath Accessories,41,72,Net 45,0.91,0.03,16.72,Active
V015,Orchard Lane,India,Organizers,24,24,Net 45,0.871,0.045,45.31,Active
V016,Marais Collection,Canada,Pendants,14,12,Net 30,0.772,0.016,92.1,Review
V017,Arbor Works,Vietnam,Summer Living,15,36,Net 30,0.876,0.041,82.76,Active
V018,Vela Home,United States,Frames,15,72,Net 45,0.888,0.018,50.05,Active
V019,Arc & Ash,India,Wall Decor,35,12,Net 30,0.871,0.008,54.12,Active
V020,Foundry Objects,China,Accent Furniture,29,72,Net 30,0.871,0.035,14.6,Active
